extent_blocks,iteration,block_size,file_blocks,bytes,logical_extents,allocated_512_blocks,create_us,write_us,read_us,remove_us,write_mib_s,read_mib_s,verify_errors
1,1,4096,512,2097152,512,4104,0,16667,16666,0,119.998,120.005,0
1,2,4096,512,2097152,512,4104,0,16667,16667,0,119.998,119.998,0
1,3,4096,512,2097152,512,4104,0,0,16666,0,0.000,120.005,0
2,1,4096,512,2097152,256,4104,0,0,16667,0,0.000,119.998,0
2,2,4096,512,2097152,256,4104,0,16666,0,0,120.005,0.000,0
2,3,4096,512,2097152,256,4104,0,16667,16667,0,119.998,119.998,0
4,1,4096,512,2097152,128,4104,0,0,16666,0,0.000,120.005,0
4,2,4096,512,2097152,128,4104,0,0,16667,0,0.000,119.998,0
4,3,4096,512,2097152,128,4104,0,0,16667,0,0.000,119.998,0
8,1,4096,512,2097152,64,4104,0,16666,0,0,120.005,0.000,0
8,2,4096,512,2097152,64,4104,0,16667,0,0,119.998,0.000,0
8,3,4096,512,2097152,64,4104,0,16667,0,0,119.998,0.000,0
16,1,4096,512,2097152,32,4104,0,16667,0,0,119.998,0.000,0
16,2,4096,512,2097152,32,4104,0,16667,16666,0,119.998,120.005,0
16,3,4096,512,2097152,32,4104,0,16667,0,0,119.998,0.000,0
32,1,4096,512,2097152,16,4104,0,16666,16667,0,120.005,119.998,0
32,2,4096,512,2097152,16,4104,0,0,16667,0,0.000,119.998,0
32,3,4096,512,2097152,16,4104,0,0,0,0,0.000,0.000,0
