algorithm,trace_mode,address_bits,page_size,levels,frames,references,hits,page_faults,replacements,empty_frames,hit_ratio,page_table_nodes,page_table_entries,page_table_bytes,real_page_size,real_free_before,real_free_after,real_cached_before,real_cached_after
FIFO,locality,32,1024,1,16,10000,816,9184,9168,0,0.081600,1,919,44120,NA,NA,NA,NA,NA
LRU,locality,32,1024,1,16,10000,830,9170,9154,0,0.083000,1,919,44120,NA,NA,NA,NA,NA
FIFO,locality,32,1024,2,16,10000,816,9184,9168,0,0.081600,2,920,44144,NA,NA,NA,NA,NA
LRU,locality,32,1024,2,16,10000,830,9170,9154,0,0.083000,2,920,44144,NA,NA,NA,NA,NA
FIFO,locality,32,1024,3,16,10000,816,9184,9168,0,0.081600,10,928,44336,NA,NA,NA,NA,NA
LRU,locality,32,1024,3,16,10000,830,9170,9154,0,0.083000,10,928,44336,NA,NA,NA,NA,NA
FIFO,locality,32,2048,1,16,10000,1560,8440,8424,0,0.156000,1,504,24200,NA,NA,NA,NA,NA
LRU,locality,32,2048,1,16,10000,1619,8381,8365,0,0.161900,1,504,24200,NA,NA,NA,NA,NA
FIFO,locality,32,2048,2,16,10000,1560,8440,8424,0,0.156000,2,505,24224,NA,NA,NA,NA,NA
LRU,locality,32,2048,2,16,10000,1619,8381,8365,0,0.161900,2,505,24224,NA,NA,NA,NA,NA
FIFO,locality,32,2048,3,16,10000,1560,8440,8424,0,0.156000,6,509,24320,NA,NA,NA,NA,NA
LRU,locality,32,2048,3,16,10000,1619,8381,8365,0,0.161900,6,509,24320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,1,16,10000,3073,6927,6911,0,0.307300,1,256,12296,NA,NA,NA,NA,NA
LRU,locality,32,4096,1,16,10000,3221,6779,6763,0,0.322100,1,256,12296,NA,NA,NA,NA,NA
FIFO,locality,32,4096,2,16,10000,3073,6927,6911,0,0.307300,2,257,12320,NA,NA,NA,NA,NA
LRU,locality,32,4096,2,16,10000,3221,6779,6763,0,0.322100,2,257,12320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,3,16,10000,3073,6927,6911,0,0.307300,6,261,12416,NA,NA,NA,NA,NA
LRU,locality,32,4096,3,16,10000,3221,6779,6763,0,0.322100,6,261,12416,NA,NA,NA,NA,NA
FIFO,locality,32,8192,1,16,10000,5323,4677,4661,0,0.532300,1,128,6152,NA,NA,NA,NA,NA
LRU,locality,32,8192,1,16,10000,5966,4034,4018,0,0.596600,1,128,6152,NA,NA,NA,NA,NA
FIFO,locality,32,8192,2,16,10000,5323,4677,4661,0,0.532300,2,129,6176,NA,NA,NA,NA,NA
LRU,locality,32,8192,2,16,10000,5966,4034,4018,0,0.596600,2,129,6176,NA,NA,NA,NA,NA
FIFO,locality,32,8192,3,16,10000,5323,4677,4661,0,0.532300,4,131,6224,NA,NA,NA,NA,NA
LRU,locality,32,8192,3,16,10000,5966,4034,4018,0,0.596600,4,131,6224,NA,NA,NA,NA,NA
FIFO,locality,32,1024,1,32,10000,1616,8384,8352,0,0.161600,1,919,44120,NA,NA,NA,NA,NA
LRU,locality,32,1024,1,32,10000,1629,8371,8339,0,0.162900,1,919,44120,NA,NA,NA,NA,NA
FIFO,locality,32,1024,2,32,10000,1616,8384,8352,0,0.161600,2,920,44144,NA,NA,NA,NA,NA
LRU,locality,32,1024,2,32,10000,1629,8371,8339,0,0.162900,2,920,44144,NA,NA,NA,NA,NA
FIFO,locality,32,1024,3,32,10000,1616,8384,8352,0,0.161600,10,928,44336,NA,NA,NA,NA,NA
LRU,locality,32,1024,3,32,10000,1629,8371,8339,0,0.162900,10,928,44336,NA,NA,NA,NA,NA
FIFO,locality,32,2048,1,32,10000,2961,7039,7007,0,0.296100,1,504,24200,NA,NA,NA,NA,NA
LRU,locality,32,2048,1,32,10000,3136,6864,6832,0,0.313600,1,504,24200,NA,NA,NA,NA,NA
FIFO,locality,32,2048,2,32,10000,2961,7039,7007,0,0.296100,2,505,24224,NA,NA,NA,NA,NA
LRU,locality,32,2048,2,32,10000,3136,6864,6832,0,0.313600,2,505,24224,NA,NA,NA,NA,NA
FIFO,locality,32,2048,3,32,10000,2961,7039,7007,0,0.296100,6,509,24320,NA,NA,NA,NA,NA
LRU,locality,32,2048,3,32,10000,3136,6864,6832,0,0.313600,6,509,24320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,1,32,10000,5303,4697,4665,0,0.530300,1,256,12296,NA,NA,NA,NA,NA
LRU,locality,32,4096,1,32,10000,5992,4008,3976,0,0.599200,1,256,12296,NA,NA,NA,NA,NA
FIFO,locality,32,4096,2,32,10000,5303,4697,4665,0,0.530300,2,257,12320,NA,NA,NA,NA,NA
LRU,locality,32,4096,2,32,10000,5992,4008,3976,0,0.599200,2,257,12320,NA,NA,NA,NA,NA
FIFO,locality,32,4096,3,32,10000,5303,4697,4665,0,0.530300,6,261,12416,NA,NA,NA,NA,NA
LRU,locality,32,4096,3,32,10000,5992,4008,3976,0,0.599200,6,261,12416,NA,NA,NA,NA,NA
FIFO,locality,32,8192,1,32,10000,7354,2646,2614,0,0.735400,1,128,6152,NA,NA,NA,NA,NA
LRU,locality,32,8192,1,32,10000,8338,1662,1630,0,0.833800,1,128,6152,NA,NA,NA,NA,NA
FIFO,locality,32,8192,2,32,10000,7354,2646,2614,0,0.735400,2,129,6176,NA,NA,NA,NA,NA
LRU,locality,32,8192,2,32,10000,8338,1662,1630,0,0.833800,2,129,6176,NA,NA,NA,NA,NA
FIFO,locality,32,8192,3,32,10000,7354,2646,2614,0,0.735400,4,131,6224,NA,NA,NA,NA,NA
LRU,locality,32,8192,3,32,10000,8338,1662,1630,0,0.833800,4,131,6224,NA,NA,NA,NA,NA
FIFO,locality,32,1024,1,64,10000,3063,6937,6873,0,0.306300,1,919,44120,NA,NA,NA,NA,NA
LRU,locality,32,1024,1,64,10000,3209,6791,6727,0,0.320900,1,919,44120,NA,NA,NA,NA,NA
FIFO,locality,32,1024,2,64,10000,3063,6937,6873,0,0.306300,2,920,44144,NA,NA,NA,NA,NA
LRU,locality,32,1024,2,64,10000,3209,6791,6727,0,0.320900,2,920,44144,NA,NA,NA,NA,NA
FIFO,locality,32,1024,3,64,10000,3063,6937,6873,0,0.306300,10,928,44336,NA,NA,NA,NA,NA
LRU,locality,32,1024,3,64,10000,3209,6791,6727,0,0.320900,10,928,44336,NA,NA,NA,NA,NA
FIFO,locality,32,2048,1,64,10000,5265,4735,4671,0,0.526500,1,504,24200,NA,NA,NA,NA,NA
LRU,locality,32,2048,1,64,10000,5953,4047,3983,0,0.595300,1,504,24200,NA,NA,NA,NA,NA
FIFO,locality,32,2048,2,64,10000,5265,4735,4671,0,0.526500,2,505,24224,NA,NA,NA,NA,NA
