quantum_ms,algorithm,process,arrival_ms,burst_ms,priority,start_ms,completion_ms,turnaround_ms,waiting_ms,response_ms,average_turnaround_ms,average_waiting_ms,average_response_ms,makespan_ms,context_switches,wall_elapsed_ms
5,RR,P1,0,80,3,0,260,260,180,0,195.00,143.00,3.00,260,52,0
5,RR,P2,10,40,4,10,165,155,115,0,195.00,143.00,3.00,260,52,0
5,RR,P3,20,60,0,25,250,230,170,5,195.00,143.00,3.00,260,52,0
5,RR,P4,35,30,2,45,175,140,110,10,195.00,143.00,3.00,260,52,0
5,RR,P5,50,50,1,50,240,190,140,0,195.00,143.00,3.00,260,52,0
5,SJF,P1,0,80,3,0,80,80,0,0,137.00,85.00,85.00,260,5,16
5,SJF,P2,10,40,4,110,150,140,100,100,137.00,85.00,85.00,260,5,16
5,SJF,P3,20,60,0,200,260,240,180,180,137.00,85.00,85.00,260,5,16
5,SJF,P4,35,30,2,80,110,75,45,45,137.00,85.00,85.00,260,5,16
5,SJF,P5,50,50,1,150,200,150,100,100,137.00,85.00,85.00,260,5,16
5,PRIORITY,P1,0,80,3,0,80,80,0,0,155.00,103.00,103.00,260,5,0
5,PRIORITY,P2,10,40,4,220,260,250,210,210,155.00,103.00,103.00,260,5,0
5,PRIORITY,P3,20,60,0,80,140,120,60,60,155.00,103.00,103.00,260,5,0
5,PRIORITY,P4,35,30,2,190,220,185,155,155,155.00,103.00,103.00,260,5,0
5,PRIORITY,P5,50,50,1,140,190,140,90,90,155.00,103.00,103.00,260,5,0
5,MLFQ,P1,0,80,3,0,260,260,180,0,195.00,143.00,1.00,260,22,0
5,MLFQ,P2,10,40,4,15,195,185,145,5,195.00,143.00,1.00,260,22,0
5,MLFQ,P3,20,60,0,20,255,235,175,0,195.00,143.00,1.00,260,22,0
5,MLFQ,P4,35,30,2,35,150,115,85,0,195.00,143.00,1.00,260,22,0
5,MLFQ,P5,50,50,1,50,230,180,130,0,195.00,143.00,1.00,260,22,0
10,RR,P1,0,80,3,0,260,260,180,0,187.00,135.00,9.00,260,26,0
10,RR,P2,10,40,4,10,150,140,100,0,187.00,135.00,9.00,260,26,0
10,RR,P3,20,60,0,20,230,210,150,0,187.00,135.00,9.00,260,26,0
10,RR,P4,35,30,2,60,170,135,105,25,187.00,135.00,9.00,260,26,0
10,RR,P5,50,50,1,70,240,190,140,20,187.00,135.00,9.00,260,26,0
10,SJF,P1,0,80,3,0,80,80,0,0,137.00,85.00,85.00,260,5,0
10,SJF,P2,10,40,4,110,150,140,100,100,137.00,85.00,85.00,260,5,0
10,SJF,P3,20,60,0,200,260,240,180,180,137.00,85.00,85.00,260,5,0
10,SJF,P4,35,30,2,80,110,75,45,45,137.00,85.00,85.00,260,5,0
10,SJF,P5,50,50,1,150,200,150,100,100,137.00,85.00,85.00,260,5,0
10,PRIORITY,P1,0,80,3,0,80,80,0,0,155.00,103.00,103.00,260,5,16
10,PRIORITY,P2,10,40,4,220,260,250,210,210,155.00,103.00,103.00,260,5,16
10,PRIORITY,P3,20,60,0,80,140,120,60,60,155.00,103.00,103.00,260,5,16
10,PRIORITY,P4,35,30,2,190,220,185,155,155,155.00,103.00,103.00,260,5,16
10,PRIORITY,P5,50,50,1,140,190,140,90,90,155.00,103.00,103.00,260,5,16
10,MLFQ,P1,0,80,3,0,260,260,180,0,191.00,139.00,5.00,260,15,0
10,MLFQ,P2,10,40,4,10,200,190,150,0,191.00,139.00,5.00,260,15,0
10,MLFQ,P3,20,60,0,20,230,210,150,0,191.00,139.00,5.00,260,15,0
10,MLFQ,P4,35,30,2,50,130,95,65,15,191.00,139.00,5.00,260,15,0
10,MLFQ,P5,50,50,1,60,250,200,150,10,191.00,139.00,5.00,260,15,0
20,RR,P1,0,80,3,0,260,260,180,0,185.00,133.00,17.00,260,14,0
20,RR,P2,10,40,4,20,140,130,90,10,185.00,133.00,17.00,260,14,0
20,RR,P3,20,60,0,40,230,210,150,20,185.00,133.00,17.00,260,14,0
20,RR,P4,35,30,2,60,170,135,105,25,185.00,133.00,17.00,260,14,0
20,RR,P5,50,50,1,80,240,190,140,30,185.00,133.00,17.00,260,14,0
20,SJF,P1,0,80,3,0,80,80,0,0,137.00,85.00,85.00,260,5,0
20,SJF,P2,10,40,4,110,150,140,100,100,137.00,85.00,85.00,260,5,0
20,SJF,P3,20,60,0,200,260,240,180,180,137.00,85.00,85.00,260,5,0
20,SJF,P4,35,30,2,80,110,75,45,45,137.00,85.00,85.00,260,5,0
20,SJF,P5,50,50,1,150,200,150,100,100,137.00,85.00,85.00,260,5,0
20,PRIORITY,P1,0,80,3,0,80,80,0,0,155.00,103.00,103.00,260,5,16
20,PRIORITY,P2,10,40,4,220,260,250,210,210,155.00,103.00,103.00,260,5,16
20,PRIORITY,P3,20,60,0,80,140,120,60,60,155.00,103.00,103.00,260,5,16
20,PRIORITY,P4,35,30,2,190,220,185,155,155,155.00,103.00,103.00,260,5,16
20,PRIORITY,P5,50,50,1,140,190,140,90,90,155.00,103.00,103.00,260,5,16
20,MLFQ,P1,0,80,3,0,260,260,180,0,191.00,139.00,17.00,260,11,0
20,MLFQ,P2,10,40,4,20,160,150,110,10,191.00,139.00,17.00,260,11,0
20,MLFQ,P3,20,60,0,40,200,180,120,20,191.00,139.00,17.00,260,11,0
20,MLFQ,P4,35,30,2,60,210,175,145,25,191.00,139.00,17.00,260,11,0
20,MLFQ,P5,50,50,1,80,240,190,140,30,191.00,139.00,17.00,260,11,0
40,RR,P1,0,80,3,0,230,230,150,0,171.00,119.00,55.00,260,8,0
40,RR,P2,10,40,4,40,80,70,30,30,171.00,119.00,55.00,260,8,0
